Unnamed: 0,max_concurrent_tasks,aggregation_queries_count,id,total_queries_count,ts_submit,ts_submit_dt,elapsed_time,scaled_elapsed_time,ts_submit_dt2
39,1,2,-5071243142899015375,2,1159383444716,2006-09-27 18:57:24.716,7 days 20:19:30,0 days 00:03:32.293012112,2006-09-19 22:41:27.009012112
40,1,2,4050274200294002768,2,1159383700716,2006-09-27 19:01:40.716,7 days 20:23:46,0 days 00:03:32.373173493,2006-09-19 22:41:27.089173493
41,1,2,-8186576381047986694,2,1159384139716,2006-09-27 19:08:59.716,7 days 20:31:05,0 days 00:03:32.510637735,2006-09-19 22:41:27.226637735
42,1,2,8030035867242584493,2,1159384351716,2006-09-27 19:12:31.716,7 days 20:34:37,0 days 00:03:32.577021378,2006-09-19 22:41:27.293021378
43,1,2,6089384433523005233,2,1159384590716,2006-09-27 19:16:30.716,7 days 20:38:36,0 days 00:03:32.651859542,2006-09-19 22:41:27.367859542
44,1,1,5034813354539821952,1,1159384742716,2006-09-27 19:19:02.716,7 days 20:41:08,0 days 00:03:32.699455361,2006-09-19 22:41:27.415455361
45,1,1,-4266374219962581122,1,1159385146716,2006-09-27 19:25:46.716,7 days 20:47:52,0 days 00:03:32.825960040,2006-09-19 22:41:27.541960040
46,1,2,697362246352984210,2,1159385533716,2006-09-27 19:32:13.716,7 days 20:54:19,0 days 00:03:32.947141502,2006-09-19 22:41:27.663141502
47,1,2,-6274958777004269848,2,1159389682716,2006-09-27 20:41:22.716,7 days 22:03:28,0 days 00:03:34.246319500,2006-09-19 22:41:28.962319500
48,1,2,7827802785065682929,2,1159389959716,2006-09-27 20:45:59.716,7 days 22:08:05,0 days 00:03:34.333056618,2006-09-19 22:41:29.049056618
49,1,1,31368799554897277,1,1159390425716,2006-09-27 20:53:45.716,7 days 22:15:51,0 days 00:03:34.478975381,2006-09-19 22:41:29.194975381
50,1,1,9092586308511994125,1,1159390638716,2006-09-27 20:57:18.716,7 days 22:19:24,0 days 00:03:34.545672155,2006-09-19 22:41:29.261672155
51,1,1,-4903069001539148200,1,1159390847716,2006-09-27 21:00:47.716,7 days 22:22:53,0 days 00:03:34.611116407,2006-09-19 22:41:29.327116407
52,1,2,-7357185061484296186,2,1159391071716,2006-09-27 21:04:31.716,7 days 22:26:37,0 days 00:03:34.681257615,2006-09-19 22:41:29.397257615
53,1,2,-3594926158757324078,2,1159391856716,2006-09-27 21:17:36.716,7 days 22:39:42,0 days 00:03:34.927064973,2006-09-19 22:41:29.643064973
54,1,2,4794776312846298542,2,1159394259716,2006-09-27 21:57:39.716,7 days 23:19:45,0 days 00:03:35.679517306,2006-09-19 22:41:30.395517306
55,1,2,-7830291659163099312,2,1159394756716,2006-09-27 22:05:56.716,7 days 23:28:02,0 days 00:03:35.835143111,2006-09-19 22:41:30.551143111
56,1,2,-1728942820516684939,2,1159395139716,2006-09-27 22:12:19.716,7 days 23:34:25,0 days 00:03:35.955072051,2006-09-19 22:41:30.671072051
57,1,1,-8097171148847523405,1,1159396201716,2006-09-27 22:30:01.716,7 days 23:52:07,0 days 00:03:36.287616527,2006-09-19 22:41:31.003616527
58,1,1,3731355833067034343,1,1159396286716,2006-09-27 22:31:26.716,7 days 23:53:32,0 days 00:03:36.314232611,2006-09-19 22:41:31.030232611
59,1,1,478150347933555900,1,1159397058716,2006-09-27 22:44:18.716,8 days 00:06:24,0 days 00:03:36.555969274,2006-09-19 22:41:31.271969274
60,1,1,-3682172033778837821,1,1159473907716,2006-09-28 20:05:07.716,8 days 21:27:13,0 days 00:04:00.619726797,2006-09-19 22:41:55.335726797
61,1,1,7332397588236818418,1,1159473981716,2006-09-28 20:06:21.716,8 days 21:28:27,0 days 00:04:00.642898446,2006-09-19 22:41:55.358898446
62,1,1,8237121278039887766,1,1159474295716,2006-09-28 20:11:35.716,8 days 21:33:41,0 days 00:04:00.741221389,2006-09-19 22:41:55.457221389
63,1,2,-8888857103664200696,2,1159481923716,2006-09-28 22:18:43.716,8 days 23:40:49,0 days 00:04:03.129780022,2006-09-19 22:41:57.845780022
64,1,1,-7819441875016508314,1,1159486844716,2006-09-28 23:40:44.716,9 days 01:02:50,0 days 00:04:04.670694683,2006-09-19 22:41:59.386694683
65,1,1,8967100170642359274,1,1159486908716,2006-09-28 23:41:48.716,9 days 01:03:54,0 days 00:04:04.690735028,2006-09-19 22:41:59.406735028
66,1,1,6670193076449805968,1,1159488026716,2006-09-29 00:00:26.716,9 days 01:22:32,0 days 00:04:05.040814807,2006-09-19 22:41:59.756814807
67,1,2,-3598217290155140393,2,1159489659716,2006-09-29 00:27:39.716,9 days 01:49:45,0 days 00:04:05.552156737,2006-09-19 22:42:00.268156737
68,1,1,5508850576805187146,1,1159489813716,2006-09-29 00:30:13.716,9 days 01:52:19,0 days 00:04:05.600378818,2006-09-19 22:42:00.316378818
69,1,2,684758957240482028,2,1159489834716,2006-09-29 00:30:34.716,9 days 01:52:40,0 days 00:04:05.606954556,2006-09-19 22:42:00.322954556
70,1,1,8937786082632412377,1,1159489868716,2006-09-29 00:31:08.716,9 days 01:53:14,0 days 00:04:05.617600989,2006-09-19 22:42:00.333600989
71,1,2,2776892874676880365,2,1159491286716,2006-09-29 00:54:46.716,9 days 02:16:52,0 days 00:04:06.061619886,2006-09-19 22:42:00.777619886
72,1,1,-3422174492761321024,1,1159492851716,2006-09-29 01:20:51.716,9 days 02:42:57,0 days 00:04:06.551668950,2006-09-19 22:42:01.267668950
73,4,5,4674315705909557045,11,1159492911716,2006-09-29 01:21:51.716,9 days 02:43:57,0 days 00:04:06.570456773,2006-09-19 22:42:01.286456773
74,116,5,-4051779566848919131,235,1159493418716,2006-09-29 01:30:18.716,9 days 02:52:24,0 days 00:04:06.729213882,2006-09-19 22:42:01.445213882
75,1,1,-1403068418562104961,1,1159493524716,2006-09-29 01:32:04.716,9 days 02:54:10,0 days 00:04:06.762405704,2006-09-19 22:42:01.478405704
76,116,5,1332405207435281524,235,1159494988716,2006-09-29 01:56:28.716,9 days 03:18:34,0 days 00:04:07.220828598,2006-09-19 22:42:01.936828598
77,116,5,-910841767460525884,235,1159550716716,2006-09-29 17:25:16.716,9 days 18:47:22,0 days 00:04:24.670959104,2006-09-19 22:42:19.386959104
78,19,3,5129289105494956962,37,1159556254716,2006-09-29 18:57:34.716,9 days 20:19:40,0 days 00:04:26.405075217,2006-09-19 22:42:21.121075217
79,1,2,-2066433889697431575,2,1159558058716,2006-09-29 19:27:38.716,9 days 20:49:44,0 days 00:04:26.969962445,2006-09-19 22:42:21.685962445
80,96,2,-8254154942209070906,97,1159560254716,2006-09-29 20:04:14.716,9 days 21:26:20,0 days 00:04:27.657596786,2006-09-19 22:42:22.373596786
81,1,1,7296935790259954614,2,1159562840716,2006-09-29 20:47:20.716,9 days 22:09:26,0 days 00:04:28.467351981,2006-09-19 22:42:23.183351981
