Unnamed: 0;max_concurrent_tasks;aggregation_queries_count;total_queries_count;ts_submit;ts_submit_dt;ts_submit_dt2;standard_queries_count;first_name_queries_count;last_name_queries_count;country_queries_count;other_queries_count
48;1;20;20;1159389959716;2006-09-27 20:45:59.716;2006-09-19 22:41:29.049056618;0;0;0;0;0
49;1;10;10;1159390425716;2006-09-27 20:53:45.716;2006-09-19 22:41:29.194975381;0;0;0;0;0
50;1;10;10;1159390638716;2006-09-27 20:57:18.716;2006-09-19 22:41:29.261672155;0;0;0;0;0
51;1;10;10;1159390847716;2006-09-27 21:00:47.716;2006-09-19 22:41:29.327116407;0;0;0;0;0
52;1;20;20;1159391071716;2006-09-27 21:04:31.716;2006-09-19 22:41:29.397257615;0;0;0;0;0
53;1;20;20;1159391856716;2006-09-27 21:17:36.716;2006-09-19 22:41:29.643064973;0;0;0;0;0
54;1;20;20;1159394259716;2006-09-27 21:57:39.716;2006-09-19 22:41:30.395517306;0;0;0;0;0
55;1;20;20;1159394756716;2006-09-27 22:05:56.716;2006-09-19 22:41:30.551143111;0;0;0;0;0
56;1;20;20;1159395139716;2006-09-27 22:12:19.716;2006-09-19 22:41:30.671072051;0;0;0;0;0
57;1;10;10;1159396201716;2006-09-27 22:30:01.716;2006-09-19 22:41:31.003616527;0;0;0;0;0
58;1;10;10;1159396286716;2006-09-27 22:31:26.716;2006-09-19 22:41:31.030232611;0;0;0;0;0
59;1;10;10;1159397058716;2006-09-27 22:44:18.716;2006-09-19 22:41:31.271969274;0;0;0;0;0
60;1;10;10;1159473907716;2006-09-28 20:05:07.716;2006-09-19 22:41:55.335726797;0;0;0;0;0
61;1;10;10;1159473981716;2006-09-28 20:06:21.716;2006-09-19 22:41:55.358898446;0;0;0;0;0
62;1;10;10;1159474295716;2006-09-28 20:11:35.716;2006-09-19 22:41:55.457221389;0;0;0;0;0
63;1;20;20;1159481923716;2006-09-28 22:18:43.716;2006-09-19 22:41:57.845780022;0;0;0;0;0
64;1;10;10;1159486844716;2006-09-28 23:40:44.716;2006-09-19 22:41:59.386694683;0;0;0;0;0
65;1;10;10;1159486908716;2006-09-28 23:41:48.716;2006-09-19 22:41:59.406735028;0;0;0;0;0
66;1;10;10;1159488026716;2006-09-29 00:00:26.716;2006-09-19 22:41:59.756814807;0;0;0;0;0
67;1;20;20;1159489659716;2006-09-29 00:27:39.716;2006-09-19 22:42:00.268156737;0;0;0;0;0
68;1;10;10;1159489813716;2006-09-29 00:30:13.716;2006-09-19 22:42:00.316378818;0;0;0;0;0
69;1;20;20;1159489834716;2006-09-29 00:30:34.716;2006-09-19 22:42:00.322954556;0;0;0;0;0
70;1;10;10;1159489868716;2006-09-29 00:31:08.716;2006-09-19 22:42:00.333600989;0;0;0;0;0
71;1;20;20;1159491286716;2006-09-29 00:54:46.716;2006-09-19 22:42:00.777619886;0;0;0;0;0
72;1;10;10;1159492851716;2006-09-29 01:20:51.716;2006-09-19 22:42:01.267668950;0;0;0;0;0
73;1;50;110;1159492911716;2006-09-29 01:21:51.716;2006-09-19 22:42:01.286456773;60;27;8;15;10
74;4;50;2350;1159493418716;2006-09-29 01:30:18.716;2006-09-19 22:42:01.445213882;2300;703;570;569;458
75;1;10;10;1159493524716;2006-09-29 01:32:04.716;2006-09-19 22:42:01.478405704;0;0;0;0;0
76;4;50;2350;1159494988716;2006-09-29 01:56:28.716;2006-09-19 22:42:01.936828598;2300;944;371;531;454
77;4;50;2350;1159550716716;2006-09-29 17:25:16.716;2006-09-19 22:42:19.386959104;2300;480;575;575;670
78;1;30;370;1159556254716;2006-09-29 18:57:34.716;2006-09-19 22:42:21.121075217;340;140;85;64;51
79;1;20;20;1159558058716;2006-09-29 19:27:38.716;2006-09-19 22:42:21.685962445;0;0;0;0;0
80;3;20;970;1159560254716;2006-09-29 20:04:14.716;2006-09-19 22:42:22.373596786;950;278;237;237;198
81;1;10;20;1159562840716;2006-09-29 20:47:20.716;2006-09-19 22:42:23.183351981;10;5;2;2;1
82;1;10;10;1159573510716;2006-09-29 23:45:10.716;2006-09-19 22:42:26.524453268;0;0;0;0;0
83;1;20;60;1159574743716;2006-09-30 00:05:43.716;2006-09-19 22:42:26.910543041;40;17;5;10;8
84;4;50;2350;1159576364716;2006-09-30 00:32:44.716;2006-09-19 22:42:27.418127407;2300;805;512;524;459
85;1;10;20;1159578773716;2006-09-30 01:12:53.716;2006-09-19 22:42:28.172458523;10;5;2;1;2
86;1;20;100;1159578982716;2006-09-30 01:16:22.716;2006-09-19 22:42:28.237902775;80;22;20;20;18
87;1;10;10;1159579756716;2006-09-30 01:29:16.716;2006-09-19 22:42:28.480265698;0;0;0;0;0
88;1;50;390;1159581133716;2006-09-30 01:52:13.716;2006-09-19 22:42:28.911446249;340;111;83;84;62
